"Mantachie","Itawamba County","Mississippi",1139,1144,1107,651,732,534,246,178,238,188,195,161,0,0,0,0,0,0,0,0,0,0
"Mantee","Webster County","Mississippi",226,232,169,134,158,142,166,189,241,219,249,222,0,0,0,0,0,0,0,0,0,0
"Marietta","Prentiss County","Mississippi",257,256,248,287,298,204,0,0,0,0,0,146,0,0,63,0,0,0,0,0,0,0
"Marion","Lauderdale County","Mississippi",1584,1479,1305,1359,771,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0
"Marks","Quitman County","Mississippi",1616,1735,1551,1758,2260,2609,2572,2209,1818,1258,1020,670,0,0,0,0,0,0,0,0,0,0
"Mathiston","Choctaw/Webster County","Mississippi",677,698,720,818,632,570,597,584,549,484,463,576,170,0,0,0,0,0,0,0,0,0
"Mayersville","Issaquena County","Mississippi",586,547,795,329,378,0,0,0,0,0,0,185,250,0,355,0,0,0,0,0,0,0
"McComb","Pike County","Mississippi",12703,12790,13337,11591,12331,11969,12020,10401,9898,10057,7775,6237,4477,2383,1982,0,0,0,0,0,0,0
"McCool","Attala County","Mississippi",132,135,182,169,203,225,211,305,373,562,517,422,317,246,0,0,0,0,0,0,0,0
"McLain","Greene County","Mississippi",436,441,603,536,688,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Meadville","Franklin County","Mississippi",435,449,519,453,575,594,611,524,510,341,304,260,0,0,0,0,0,0,0,0,0,0
"Mendenhall","Simpson County","Mississippi",2502,2504,2555,2463,2533,2402,1946,1539,1282,919,637,606,0,0,0,0,0,0,0,0,0,0
"Meridian","Lauderdale County","Mississippi",40196,41148,39968,41036,46577,45083,49374,41893,35481,31954,23399,23285,14050,10624,4008,2709,0,0,0,0,0,0
"Merigold","Bolivar County","Mississippi",425,439,664,572,574,772,602,682,704,804,606,241,0,0,0,0,0,0,0,0,0,0
"Metcalfe","Washington County","Mississippi",1029,1067,1109,1092,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mize","Smith County","Mississippi",333,340,285,312,363,372,371,430,561,429,332,321,0,0,0,0,0,0,0,0,0,0
"Monticello","Lawrence County","Mississippi",1525,1571,1726,1755,1834,1790,1432,1382,802,606,464,450,0,0,0,200,221,0,0,0,0,0
"Montrose","Jasper County","Mississippi",136,140,127,106,120,160,169,222,278,312,398,427,0,0,0,0,0,0,0,0,0,0
"Moorhead","Sunflower County","Mississippi",2301,2405,2573,2417,2358,2284,1754,1749,1504,1553,1600,506,437,0,0,0,0,0,0,0,0,0
"Morgan City","Leflore County","Mississippi",250,255,305,139,319,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morton","Scott County","Mississippi",3461,3462,3482,3212,3303,2672,2260,1664,934,955,437,374,200,0,0,0,0,0,0,0,0,0
"Moss Point","Jackson County","Mississippi",13671,13704,15851,17837,18998,19321,6631,3782,3042,2453,3340,3054,0,0,1333,440,0,0,0,0,0,0
"Mound Bayou","Bolivar County","Mississippi",1497,1533,2102,2222,2917,2134,1354,1328,806,834,803,537,287,0,0,0,0,0,0,0,0,0
"Mount Olive","Covington County","Mississippi",970,982,893,914,993,923,841,827,775,812,778,1077,0,0,0,0,0,0,0,0,0,0
"Myrtle","Union County","Mississippi",496,490,407,358,402,308,313,331,349,313,325,255,165,0,0,0,0,0,0,0,0,0
"Natchez","Adams County","Mississippi",15269,15792,18464,19460,22209,19704,23791,22740,15296,13422,12608,11791,12210,10101,7058,9057,6612,4434,3612,2789,2184,1511
"Nettleton","Lee/Monroe County","Mississippi",1965,1992,1932,2462,1911,1591,1389,1204,861,834,653,733,570,0,0,0,0,0,0,0,0,0
"New Albany","Union County","Mississippi",8708,8034,7607,6775,7072,6426,5151,3680,3602,3187,2531,2032,1033,548,250,0,0,0,0,0,0,0
"New Augusta","Perry County","Mississippi",638,644,715,668,589,511,275,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
"New Hebron","Lawrence County","Mississippi",433,447,447,373,470,456,271,303,298,306,237,191,0,0,0,0,0,0,0,0,0,0
"New Houlka","Chickasaw County","Mississippi",613,626,710,558,710,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Newton","Newton County","Mississippi",3374,3373,3699,3701,3708,3556,3178,2912,1800,2011,1604,1878,537,0,0,154,0,0,0,0,0,0
"North Carrollton","Carroll County","Mississippi",455,473,499,578,859,611,521,506,469,394,363,302,189,0,0,0,0,0,0,0,0,0
"Noxapater","Winston County","Mississippi",456,472,419,441,516,554,549,615,569,526,515,311,0,0,0,0,0,0,0,0,0,0
"Oakland","Yalobusha County","Mississippi",508,527,586,553,540,493,488,551,516,428,429,351,209,327,288,0,0,0,0,0,0,0
"Ocean Springs","Jackson County","Mississippi",17530,17442,17225,14658,14504,9580,3025,3058,1881,1663,1732,1472,1255,1148,849,560,0,0,0,0,0,0
"Okolona","Chickasaw County","Mississippi",2641,2692,3056,3267,3409,3002,2622,2167,2117,2235,3852,2584,2177,2099,1858,1410,0,0,,,,
"Olive Branch","DeSoto County","Mississippi",35457,33484,21054,3567,2067,1513,642,534,441,336,197,221,198,199,73,0,0,0,0,0,0,0
"Osyka","Pike County","Mississippi",435,440,481,483,581,628,712,724,769,750,704,824,784,742,542,0,0,0,0,0,0,0
"Oxford","Lafayette County","Mississippi",21757,18916,11756,9984,9882,8519,5283,3956,3433,2890,2150,2014,1825,1546,1534,1422,0,492,,,,
"Pace","Bolivar County","Mississippi",266,274,364,354,519,629,420,422,426,349,0,0,0,0,0,0,0,0,0,0,0,0
"Pachuta","Clarke County","Mississippi",254,261,245,268,256,271,271,273,313,338,332,187,131,0,0,0,0,0,0,0,0,0
"Paden","Tishomingo County","Mississippi",115,116,106,123,119,97,134,158,194,167,250,186,0,0,0,0,0,0,0,0,0,0
"Pascagoula","Jackson County","Mississippi",22224,22392,26200,25899,29318,27264,17155,10805,5900,4339,6082,3379,708,0,418,480,0,0,0,0,0,0
"Pass Christian","Harrison County","Mississippi",5308,4613,6579,5557,5014,2979,3881,3383,3338,3004,2357,2458,2028,1705,1410,1951,0,790,,,,
"Pearl","Rankin County","Mississippi",26388,25092,21961,19588,18602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pelahatchie","Rankin County","Mississippi",1358,1334,1461,1553,1445,1306,1066,867,938,1599,1212,943,326,139,117,0,0,0,0,0,0,0
"Petal","Forrest County","Mississippi",10727,10454,7579,7883,8476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Philadelphia","Neshoba County","Mississippi",7402,7477,7303,6758,6434,6274,5017,4472,3711,2560,1669,1209,0,0,101,0,0,0,0,0,0,0
"Picayune","Pearl River County","Mississippi",10749,10878,10535,10633,10361,10467,7834,6707,5129,4698,2479,846,0,0,0,0,0,0,0,0,0,0
