"Place","Type","County","State",2015,2010,2000
"Gaines","township","Tioga County","Pennsylvania",546,542,553
"Hamilton","township","Tioga County","Pennsylvania",503,499,462
"Jackson","township","Tioga County","Pennsylvania",1875,1887,2054
"Lawrence","township","Tioga County","Pennsylvania",1702,1718,1721
"Liberty","township","Tioga County","Pennsylvania",1031,1042,868
"Middlebury","township","Tioga County","Pennsylvania",1312,1285,1221
"Morris","township","Tioga County","Pennsylvania",597,606,646
"Nelson","township","Tioga County","Pennsylvania",563,571,587
"Osceola","township","Tioga County","Pennsylvania",649,659,700
"Putnam","township","Tioga County","Pennsylvania",417,425,428
"Richmond","township","Tioga County","Pennsylvania",2413,2396,2475
"Rutland","township","Tioga County","Pennsylvania",836,805,736
"Shippen","township","Tioga County","Pennsylvania",525,527,472
"Sullivan","township","Tioga County","Pennsylvania",1483,1453,1322
"Tioga","township","Tioga County","Pennsylvania",962,991,995
"Union","township","Tioga County","Pennsylvania",1004,1000,945
"Ward","township","Tioga County","Pennsylvania",178,166,128
"Westfield","township","Tioga County","Pennsylvania",1018,1047,849
"Buffalo","township","Union County","Pennsylvania",3606,3538,3207
"East Buffalo","township","Union County","Pennsylvania",6496,6414,5730
"Gregg","township","Union County","Pennsylvania",4878,4984,4687
"Hartley","township","Union County","Pennsylvania",1821,1820,1714
"Kelly","township","Union County","Pennsylvania",5260,5491,4502
"Lewis","township","Union County","Pennsylvania",1482,1480,1405
"Limestone","township","Union County","Pennsylvania",1747,1723,1572
"Union","township","Union County","Pennsylvania",1603,1589,1427
"West Buffalo","township","Union County","Pennsylvania",3022,2983,2795
"White Deer","township","Union County","Pennsylvania",4593,4437,4273
"Allegheny","township","Venango County","Pennsylvania",266,276,281
"Canal","township","Venango County","Pennsylvania",973,1023,1008
"Cherrytree","township","Venango County","Pennsylvania",1487,1540,1543
"Clinton","township","Venango County","Pennsylvania",822,854,758
"Cornplanter","township","Venango County","Pennsylvania",2346,2418,2687
"Cranberry","township","Venango County","Pennsylvania",6513,6685,7014
"Frenchcreek","township","Venango County","Pennsylvania",1485,1542,1605
"Irwin","township","Venango County","Pennsylvania",1329,1391,1309
"Jackson","township","Venango County","Pennsylvania",1145,1147,1168
"Mineral","township","Venango County","Pennsylvania",525,538,533
"Oakland","township","Venango County","Pennsylvania",1475,1504,1565
"Oil Creek","township","Venango County","Pennsylvania",823,854,840
"Pinegrove","township","Venango County","Pennsylvania",1299,1354,1338
"Plum","township","Venango County","Pennsylvania",1016,1056,1060
"President","township","Venango County","Pennsylvania",521,540,543
"Richland","township","Venango County","Pennsylvania",756,777,744
"Rockland","township","Venango County","Pennsylvania",1406,1456,1346
"Sandycreek","township","Venango County","Pennsylvania",2199,2260,2406
"Scrubgrass","township","Venango County","Pennsylvania",730,751,799
"Victory","township","Venango County","Pennsylvania",394,410,408
"Brokenstraw","township","Warren County","Pennsylvania",1821,1884,2068
"Cherry Grove","township","Warren County","Pennsylvania",211,216,228
"Columbus","township","Warren County","Pennsylvania",1972,2034,1741
"Conewango","township","Warren County","Pennsylvania",3449,3594,3915
"Deerfield","township","Warren County","Pennsylvania",327,339,333
"Eldred","township","Warren County","Pennsylvania",627,650,709
"Elk","township","Warren County","Pennsylvania",507,520,551
"Farmington","township","Warren County","Pennsylvania",1225,1259,1353
"Freehold","township","Warren County","Pennsylvania",1462,1510,1402
"Glade","township","Warren County","Pennsylvania",2237,2308,2319
"Limestone","township","Warren County","Pennsylvania",386,403,418
"Mead","township","Warren County","Pennsylvania",1338,1386,1555
"Pine Grove","township","Warren County","Pennsylvania",2609,2695,2712
"Pittsfield","township","Warren County","Pennsylvania",1359,1405,1519
"Pleasant","township","Warren County","Pennsylvania",2370,2444,2528
"Sheffield","township","Warren County","Pennsylvania",2045,2121,2346
"Southwest","township","Warren County","Pennsylvania",508,527,561
"Spring Creek","township","Warren County","Pennsylvania",816,852,872
"Sugar Grove","township","Warren County","Pennsylvania",1678,1723,1870
"Triumph","township","Warren County","Pennsylvania",305,316,286
"Watson","township","Warren County","Pennsylvania",265,274,322
"Amwell","township","Washington County","Pennsylvania",3720,3751,3960
"Blaine","township","Washington County","Pennsylvania",677,690,597
"Buffalo","township","Washington County","Pennsylvania",2066,2069,2100
"Canton","township","Washington County","Pennsylvania",8221,8375,8826
"Carroll","township","Washington County","Pennsylvania",5555,5640,5677
"Cecil","township","Washington County","Pennsylvania",11931,11271,9756
"Chartiers","township","Washington County","Pennsylvania",7940,7818,7154
"Cross Creek","township","Washington County","Pennsylvania",1530,1556,1685
"Donegal","township","Washington County","Pennsylvania",2437,2465,2428
"East Bethlehem","township","Washington County","Pennsylvania",2298,2354,2524
"East Finley","township","Washington County","Pennsylvania",1365,1392,1489
"Fallowfield","township","Washington County","Pennsylvania",4255,4321,4461
"Hanover","township","Washington County","Pennsylvania",2640,2673,2795
"Hopewell","township","Washington County","Pennsylvania",935,957,992
"Independence","township","Washington County","Pennsylvania",1520,1557,1676
"Jefferson","township","Washington County","Pennsylvania",1161,1162,1218
"Morris","township","Washington County","Pennsylvania",1108,1105,1272
"Mount Pleasant","township","Washington County","Pennsylvania",3512,3515,3422
"North Bethlehem","township","Washington County","Pennsylvania",1600,1631,1746
"North Franklin","township","Washington County","Pennsylvania",4598,4583,4818
"North Strabane","township","Washington County","Pennsylvania",14339,13408,10057
"Nottingham","township","Washington County","Pennsylvania",3038,3036,2522
"Peters","township","Washington County","Pennsylvania",22098,21213,17566
"Robinson","township","Washington County","Pennsylvania",1906,1931,2193
"Smith","township","Washington County","Pennsylvania",4414,4476,4567
"Somerset","township","Washington County","Pennsylvania",2662,2684,2701
"South Franklin","township","Washington County","Pennsylvania",3268,3310,3796
"South Strabane","township","Washington County","Pennsylvania",9527,9346,7987
"Union","township","Washington County","Pennsylvania",5717,5700,5599
"West Bethlehem","township","Washington County","Pennsylvania",1444,1460,1432
"West Finley","township","Washington County","Pennsylvania",878,878,951
"West Pike Run","township","Washington County","Pennsylvania",1561,1587,1925
"Berlin","township","Wayne County","Pennsylvania",2452,2578,2188
"Buckingham","township","Wayne County","Pennsylvania",501,520,656
"Canaan","township","Wayne County","Pennsylvania",4024,3963,1916
"Cherry Ridge","township","Wayne County","Pennsylvania",1853,1895,1817
"Clinton","township","Wayne County","Pennsylvania",1999,2053,1926
"Damascus","township","Wayne County","Pennsylvania",3570,3659,3662
"Dreher","township","Wayne County","Pennsylvania",1348,1412,1280
"Dyberry","township","Wayne County","Pennsylvania",1379,1401,1353
"Lake","township","Wayne County","Pennsylvania",5134,5269,4361
"Lebanon","township","Wayne County","Pennsylvania",664,684,645
"Lehigh","township","Wayne County","Pennsylvania",1793,1881,1639
"Manchester","township","Wayne County","Pennsylvania",810,836,888
"Mount Pleasant","township","Wayne County","Pennsylvania",1332,1357,1345
"Oregon","township","Wayne County","Pennsylvania",757,781,745
"Palmyra","township","Wayne County","Pennsylvania",1301,1339,1127
"Paupack","township","Wayne County","Pennsylvania",3724,3828,2959
"Preston","township","Wayne County","Pennsylvania",990,1014,1107
"Salem","township","Wayne County","Pennsylvania",4099,4271,3664
"Scott","township","Wayne County","Pennsylvania",571,593,669
"South Canaan","township","Wayne County","Pennsylvania",1726,1768,1666
"Sterling","township","Wayne County","Pennsylvania",1407,1450,1251
"Texas","township","Wayne County","Pennsylvania",2458,2569,2501
"Allegheny","township","Westmoreland County","Pennsylvania",8205,8164,8002
"Bell","township","Westmoreland County","Pennsylvania",2311,2348,2458
"Cook","township","Westmoreland County","Pennsylvania",2208,2250,2403
"Derry","township","Westmoreland County","Pennsylvania",14279,14502,14726
"Donegal","township","Westmoreland County","Pennsylvania",2368,2403,2442
"East Huntingdon","township","Westmoreland County","Pennsylvania",7779,7963,7781
"Fairfield","township","Westmoreland County","Pennsylvania",2388,2424,2536
"Hempfield","township","Westmoreland County","Pennsylvania",41638,43241,40721
"Ligonier","township","Westmoreland County","Pennsylvania",6538,6603,6973
"Loyalhanna","township","Westmoreland County","Pennsylvania",2317,2382,2301
"Mount Pleasant","township","Westmoreland County","Pennsylvania",10644,10911,11153
"North Huntingdon","township","Westmoreland County","Pennsylvania",30763,30609,29123
"Penn","township","Westmoreland County","Pennsylvania",19694,20005,19591
"Rostraver","township","Westmoreland County","Pennsylvania",11168,11363,11634
"Salem","township","Westmoreland County","Pennsylvania",6576,6623,1398
"Sewickley","township","Westmoreland County","Pennsylvania",5853,5996,6939
"South Huntingdon","township","Westmoreland County","Pennsylvania",5619,5796,6230
"St. Clair","township","Westmoreland County","Pennsylvania",1473,1518,6175
"Unity","township","Westmoreland County","Pennsylvania",22396,22607,21137
"Upper Burrell","township","Westmoreland County","Pennsylvania",2271,2326,2240
"Washington","township","Westmoreland County","Pennsylvania",7249,7422,7384
"Braintrim","township","Wyoming County","Pennsylvania",495,502,508
"Clinton","township","Wyoming County","Pennsylvania",1284,1367,1343
"Eaton","township","Wyoming County","Pennsylvania",1512,1519,1644
"Exeter","township","Wyoming County","Pennsylvania",673,690,748
"Falls","township","Wyoming County","Pennsylvania",1950,1995,1997
"Forkston","township","Wyoming County","Pennsylvania",383,397,386
"Lemon","township","Wyoming County","Pennsylvania",1218,1243,1189
"Mehoopany","township","Wyoming County","Pennsylvania",898,892,993
"Meshoppen","township","Wyoming County","Pennsylvania",1033,1073,877
"Monroe","township","Wyoming County","Pennsylvania",1617,1652,1836
"Nicholson","township","Wyoming County","Pennsylvania",1345,1385,1361
"North Branch","township","Wyoming County","Pennsylvania",210,206,197
"Northmoreland","township","Wyoming County","Pennsylvania",1527,1558,1463
"Noxen","township","Wyoming County","Pennsylvania",866,902,951
"Overfield","township","Wyoming County","Pennsylvania",1635,1666,1532
"Tunkhannock","township","Wyoming County","Pennsylvania",4305,4273,4298
"Washington","township","Wyoming County","Pennsylvania",1368,1412,1306
"Windham","township","Wyoming County","Pennsylvania",828,841,828
"Carroll","township","York County","Pennsylvania",6249,5939,4715
"Chanceford","township","York County","Pennsylvania",6142,6111,5973
"Codorus","township","York County","Pennsylvania",3874,3796,3646
"Conewago","township","York County","Pennsylvania",7975,7510,5278
"Dover","township","York County","Pennsylvania",21383,21078,18074
"East Hopewell","township","York County","Pennsylvania",2433,2416,2209
"East Manchester","township","York County","Pennsylvania",7485,7264,5078
"Fairview","township","York County","Pennsylvania",17210,16668,14321
"Fawn","township","York County","Pennsylvania",3130,3099,2727
"Franklin","township","York County","Pennsylvania",4892,4678,4515
"Heidelberg","township","York County","Pennsylvania",3077,3078,2970
"Hellam","township","York County","Pennsylvania",6008,6043,5930
"Hopewell","township","York County","Pennsylvania",5456,5435,5062
"Jackson","township","York County","Pennsylvania",7836,7494,6095
"Lower Chanceford","township","York County","Pennsylvania",3084,3028,2899
"Lower Windsor","township","York County","Pennsylvania",7469,7382,7405
"Manchester","township","York County","Pennsylvania",18531,18161,12700
"Manheim","township","York County","Pennsylvania",3448,3380,3119
"Monaghan","township","York County","Pennsylvania",2663,2630,2132
"Newberry","township","York County","Pennsylvania",15439,15285,14332
"North Codorus","township","York County","Pennsylvania",9048,8905,7915
"North Hopewell","township","York County","Pennsylvania",2797,2791,2507
"Paradise","township","York County","Pennsylvania",3895,3766,3600
"Peach Bottom","township","York County","Pennsylvania",4955,4813,4412
"Penn","township","York County","Pennsylvania",16139,15612,14592
"Shrewsbury","township","York County","Pennsylvania",6697,6447,5947
"Spring Garden","township","York County","Pennsylvania",12894,12578,23883
"Springettsbury","township","York County","Pennsylvania",26889,26668,3889
"Springfield","township","York County","Pennsylvania",5492,5152,11974
"Warrington","township","York County","Pennsylvania",4586,4532,4435
"Washington","township","York County","Pennsylvania",2678,2673,2460
"West Manchester","township","York County","Pennsylvania",18884,18894,17035
"West Manheim","township","York County","Pennsylvania",8268,7744,4865
"Windsor","township","York County","Pennsylvania",17941,17504,12807
"York","township","York County","Pennsylvania",28285,27793,23637
