"Place","Type","County","State",2015,2010,2000
"Middlesex","township","Butler County","Pennsylvania",5598,5390,5586
"Muddy Creek","township","Butler County","Pennsylvania",2185,2254,2267
"Oakland","township","Butler County","Pennsylvania",2919,2987,3074
"Parker","township","Butler County","Pennsylvania",622,632,700
"Penn","township","Butler County","Pennsylvania",4963,5071,5210
"Slippery Rock","township","Butler County","Pennsylvania",6774,5614,5251
"Summit","township","Butler County","Pennsylvania",4747,4884,4728
"Venango","township","Butler County","Pennsylvania",852,868,732
"Washington","township","Butler County","Pennsylvania",1258,1300,1419
"Winfield","township","Butler County","Pennsylvania",3488,3535,3585
"Worth","township","Butler County","Pennsylvania",1454,1416,1331
"Adams","township","Cambria County","Pennsylvania",5751,5972,6495
"Allegheny","township","Cambria County","Pennsylvania",2716,2851,2498
"Barr","township","Cambria County","Pennsylvania",2001,2056,2175
"Blacklick","township","Cambria County","Pennsylvania",1938,2013,2200
"Cambria","township","Cambria County","Pennsylvania",5920,6099,6323
"Chest","township","Cambria County","Pennsylvania",352,349,346
"Clearfield","township","Cambria County","Pennsylvania",1557,1604,1680
"Conemaugh","township","Cambria County","Pennsylvania",1926,2012,2145
"Cresson","township","Cambria County","Pennsylvania",2768,4336,4055
"Croyle","township","Cambria County","Pennsylvania",2285,2339,2233
"Dean","township","Cambria County","Pennsylvania",376,391,408
"East Carroll","township","Cambria County","Pennsylvania",1602,1654,1798
"East Taylor","township","Cambria County","Pennsylvania",2601,2726,2726
"Elder","township","Cambria County","Pennsylvania",999,1038,990
"Gallitzin","township","Cambria County","Pennsylvania",1288,1324,1310
"Jackson","township","Cambria County","Pennsylvania",4213,4392,4925
"Lower Yoder","township","Cambria County","Pennsylvania",2577,2699,3029
"Middle Taylor","township","Cambria County","Pennsylvania",696,727,792
"Munster","township","Cambria County","Pennsylvania",679,690,675
"Portage","township","Cambria County","Pennsylvania",3506,3640,3906
"Reade","township","Cambria County","Pennsylvania",1548,1619,1764
"Richland","township","Cambria County","Pennsylvania",12248,12814,12598
"Stonycreek","township","Cambria County","Pennsylvania",2718,2844,3204
"Summerhill","township","Cambria County","Pennsylvania",2372,2467,2724
"Susquehanna","township","Cambria County","Pennsylvania",1914,2007,2198
"Upper Yoder","township","Cambria County","Pennsylvania",5248,5449,5862
"Washington","township","Cambria County","Pennsylvania",868,875,921
"West Carroll","township","Cambria County","Pennsylvania",1244,1296,1445
"West Taylor","township","Cambria County","Pennsylvania",765,795,862
"White","township","Cambria County","Pennsylvania",805,836,813
"Gibson","township","Cameron County","Pennsylvania",152,164,222
"Grove","township","Cameron County","Pennsylvania",170,183,129
"Lumber","township","Cameron County","Pennsylvania",182,195,241
"Portage","township","Cameron County","Pennsylvania",161,171,258
"Shippen","township","Cameron County","Pennsylvania",2070,2232,2495
"Banks","township","Carbon County","Pennsylvania",1217,1262,1359
"East Penn","township","Carbon County","Pennsylvania",2800,2881,2461
"Franklin","township","Carbon County","Pennsylvania",4155,4262,4243
"Kidder","township","Carbon County","Pennsylvania",1935,1935,1185
"Lausanne","township","Carbon County","Pennsylvania",230,237,218
"Lehigh","township","Carbon County","Pennsylvania",476,479,527
"Lower Towamensing","township","Carbon County","Pennsylvania",3190,3228,3173
"Mahoning","township","Carbon County","Pennsylvania",4226,4305,3978
"Packer","township","Carbon County","Pennsylvania",989,998,986
"Penn Forest","township","Carbon County","Pennsylvania",9662,9581,5439
"Towamensing","township","Carbon County","Pennsylvania",4428,4477,3475
"Benner","township","Centre County","Pennsylvania",9214,6188,5217
"Boggs","township","Centre County","Pennsylvania",2947,2985,2834
"Burnside","township","Centre County","Pennsylvania",431,439,410
"College","township","Centre County","Pennsylvania",10265,9521,8489
"Curtin","township","Centre County","Pennsylvania",606,618,551
"Ferguson","township","Centre County","Pennsylvania",18963,17690,14063
"Gregg","township","Centre County","Pennsylvania",2410,2405,2119
"Haines","township","Centre County","Pennsylvania",1566,1564,1479
"Halfmoon","township","Centre County","Pennsylvania",2729,2667,2357
"Harris","township","Centre County","Pennsylvania",5408,4873,4657
"Howard","township","Centre County","Pennsylvania",958,964,924
"Huston","township","Centre County","Pennsylvania",1370,1360,1311
"Liberty","township","Centre County","Pennsylvania",2095,2118,1830
"Marion","township","Centre County","Pennsylvania",1236,1224,978
"Miles","township","Centre County","Pennsylvania",1981,1983,1573
"Patton","township","Centre County","Pennsylvania",15913,15311,11420
"Penn","township","Centre County","Pennsylvania",1176,1181,1044
"Potter","township","Centre County","Pennsylvania",3520,3517,3339
"Rush","township","Centre County","Pennsylvania",3963,4008,3466
