"Wallsburg","Wasatch County","Utah",303,250,274,252,239,211
"Washington","Washington County","Utah",23360,18761,8186,4198,3092,750
"Washington Terrace","Weber County","Utah",9177,9067,8551,8189,8212,7241
"Wellington","Carbon County","Utah",1641,1676,1666,1632,1406,922
"Wellsville","Cache County","Utah",3578,3432,2728,2206,1952,1267
"Wendover","Tooele County","Utah",1397,1400,1537,1127,1099,781
"West Bountiful","Davis County","Utah",5446,5265,4484,4477,3556,1246
"West Haven","Weber County","Utah",11582,10272,3976,2172,0,0
"West Jordan","Salt Lake County","Utah",110920,103712,68336,42892,27325,4221
"West Point","Davis County","Utah",10204,9511,6033,4258,2170,1020
"West Valley City","Salt Lake County","Utah",134495,129480,108896,86976,0,0
"Willard","Box Elder County","Utah",1775,1772,1630,1298,1241,1045
"Woodland Hills","Utah County","Utah",1455,1344,941,301,60,0
"Woodruff","Rich County","Utah",186,180,194,135,222,173
"Woods Cross","Davis County","Utah",11097,9761,6419,5384,4263,3124
