"Dacoma","Woods County","Oklahoma",113,107,148,182,226,226,219,256,274,332,265,146,0,0
"Davenport","Lincoln County","Oklahoma",813,814,881,979,974,831,813,841,975,1072,440,394,0,0
"Davidson","Tillman County","Oklahoma",302,315,375,473,501,515,429,490,507,572,461,361,0,0
"Davis","Murray County","Oklahoma",2761,2683,2610,2543,2782,2223,2203,1928,1698,1705,1609,1416,1346,0
"Deer Creek","Grant County","Oklahoma",131,130,147,124,174,203,215,209,250,312,218,166,0,0
"Delaware","Nowata County","Oklahoma",417,417,456,434,544,534,540,582,542,526,804,662,0,0
"Del City","Oklahoma County","Oklahoma",22008,21332,22128,23928,28523,27133,12934,2504,0,0,0,0,0,0
"Depew","Creek County","Oklahoma",483,476,564,502,682,739,686,719,876,1126,0,0,0,0
"Devol","Cotton County","Oklahoma",150,151,150,165,186,129,117,152,208,328,1936,0,0,0
"Dewar","Okmulgee County","Oklahoma",871,888,919,921,1048,933,817,1015,778,994,1558,0,0,0
"Dewey","Washington County","Oklahoma",3506,3432,3179,3326,3545,3958,3994,2513,2114,2095,2302,1344,0,0
"Dibble","McClain County","Oklahoma",829,878,289,181,348,184,127,148,97,0,0,0,0,0
"Dickson","Carter County","Oklahoma",1258,1207,1139,942,996,798,0,0,0,0,0,0,0,0
"Dill City","Washita County","Oklahoma",560,562,526,622,649,578,623,453,511,499,345,240,0,0
"Disney","Mayes County","Oklahoma",303,311,226,257,464,303,224,0,0,0,0,0,0,0
"Dougherty","Murray County","Oklahoma",219,215,224,138,210,211,294,341,464,371,405,278,437,0
"Douglas","Garfield County","Oklahoma",33,32,32,55,89,79,74,114,140,163,195,132,0,0
"Dover","Kingfisher County","Oklahoma",473,464,367,376,570,0,0,0,0,0,0,0,0,0
"Drummond","Garfield County","Oklahoma",470,455,405,408,482,326,281,314,245,254,292,0,0,0
"Drumright","Creek County","Oklahoma",2883,2907,2905,2799,3278,2740,4190,5028,4303,4972,6460,0,0,0
"Duncan","Stephens County","Oklahoma",23173,23431,22505,21732,22517,19718,20009,15325,9207,8363,3463,2477,1164,0
"Durant","Bryan County","Oklahoma",17041,15856,13549,12823,11972,11118,10467,10541,10027,7463,7340,5330,2969,0
"Dustin","Hughes County","Oklahoma",381,395,452,429,498,502,457,524,652,537,713,579,0,0
"Eakly","Caddo County","Oklahoma",334,338,276,277,452,228,217,191,231,0,0,0,0,0
"Earlsboro","Pottawatomie County","Oklahoma",640,628,633,535,266,248,257,278,486,1950,317,638,0,0
"East Duke","Jackson County","Oklahoma",412,424,445,360,484,486,333,325,412,543,502,0,0,0
"Edmond","Oklahoma County","Oklahoma",88605,81405,68315,52315,34637,16633,8577,6086,4002,3576,2452,2090,965,294
"Eldorado","Jackson County","Oklahoma",435,446,527,573,688,737,708,732,929,1183,967,926,0,0
"Elgin","Comanche County","Oklahoma",2901,2156,1210,975,1003,840,540,428,381,335,181,178,0,0
