"Buncombe","Johnson County","Illinois",205,203,186,208,231,187,200,210,263,241,280,0,0,0,0,0,0,0,0
"Bunker Hill","Macoupin County","Illinois",1727,1774,1801,1722,1700,1465,1524,1238,1082,947,977,1046,1279,1269,1441,0,0,0,0
"Burbank","Cook County","Illinois",29218,28925,27902,27600,28462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bureau Junction","Bureau County","Illinois",312,322,368,350,455,466,401,480,483,552,682,534,545,363,240,0,0,0,0
"Burlington","Kane County","Illinois",636,618,452,400,442,456,360,263,235,224,209,282,0,0,0,0,0,0,0
"Burnham","Cook County","Illinois",4229,4206,4170,3916,4030,3634,2478,1331,865,994,795,328,0,0,0,0,0,0,0
"Burnt Prairie","White County","Illinois",51,52,58,71,114,134,118,172,202,181,0,0,0,0,0,0,0,0,0
"Burr Ridge","Cook/DuPage County","Illinois",10761,10559,10408,7669,3838,1637,299,0,0,0,0,0,0,0,0,0,0,0,0
"Bush","Williamson County","Illinois",274,275,257,351,368,357,459,504,617,589,962,565,0,0,0,0,0,0,0
"Bushnell","McDonough County","Illinois",3014,3117,3221,3288,3811,3703,3710,3317,2906,2850,2716,2619,2490,2314,2316,2003,0,0,0
"Butler","Montgomery County","Illinois",176,180,197,156,225,233,249,283,246,250,275,233,292,311,387,1648,0,0,0
"Byron","Ogle County","Illinois",3665,3753,2917,2284,2035,1749,1578,1237,1113,915,855,932,1015,698,0,0,0,0,0
"Cabery","Ford County","Illinois",258,266,263,268,327,287,293,290,299,290,299,321,385,342,114,0,0,0,0
"Cahokia","St. Clair County","Illinois",14588,15241,16391,17550,18904,20649,15829,794,465,286,0,0,0,0,211,0,0,0,0
"Cairo","Alexander County","Illinois",2576,2831,3632,4846,5931,6277,9348,12123,14407,13532,15203,14548,12566,10324,9011,6267,2188,242,0
"Caledonia","Boone/Winnebago County","Illinois",196,197,199,0,0,0,0,0,0,0,0,0,0,184,134,0,0,0,0
"Calhoun","Richland County","Illinois",171,172,222,232,267,238,188,215,197,183,230,0,0,0,0,0,0,0,0
"Calumet City","Cook County","Illinois",37213,37042,39071,37840,39697,33107,25000,15799,13241,12298,7492,4948,2935,0,0,0,0,0,0
"Calumet Park","Cook County","Illinois",7903,7835,8516,8418,8788,10069,8448,2500,1593,1429,1237,0,0,0,0,0,0,0,0
"Camargo","Douglas County","Illinois",446,445,469,372,428,241,276,236,257,271,336,323,0,0,339,0,0,0,0
"Cambria","Williamson County","Illinois",1260,1228,1330,1230,1090,798,568,625,687,815,779,658,0,0,0,0,0,0,0
"Cambridge","Henry County","Illinois",2121,2160,2180,2124,2217,2095,1665,1489,1312,1355,1335,1272,1345,940,1203,0,0,0,0
"Camden","Schuyler County","Illinois",84,86,97,115,120,121,116,153,157,160,0,0,0,0,0,0,0,0,0
"Camp Point","Adams County","Illinois",1126,1132,1244,1230,1285,1143,1092,969,1084,1000,994,1148,1260,1150,1131,0,0,0,0
"Campbell Hill","Jackson County","Illinois",325,336,333,351,389,300,263,336,401,330,366,414,497,280,214,0,0,0,0
"Campton Hills","Kane County","Illinois",11317,11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campus","Livingston County","Illinois",162,166,145,137,224,217,165,183,169,160,228,241,226,0,0,0,0,0,0
"Canton","Fulton County","Illinois",14307,14704,15288,13922,14626,14217,13588,11927,11577,11718,10928,10453,6564,5604,3762,3308,2373,1568,762
"Cantrall","Sangamon County","Illinois",139,139,139,123,141,138,115,145,179,170,187,318,396,0,0,0,0,0,0
"Capron","Boone County","Illinois",1356,1376,961,682,678,654,656,572,487,397,550,562,502,436,323,0,0,0,0
"Carbon Cliff","Rock Island County","Illinois",2046,2134,1689,1492,1578,1369,1268,676,575,494,400,366,0,0,170,0,0,0,0
"Carbon Hill","Grundy County","Illinois",349,345,392,362,406,317,236,158,141,165,281,820,1252,0,0,0,0,0,0
"Carbondale","Jackson County","Illinois",26324,25902,20681,27033,26414,22816,14670,10921,8550,7528,6267,5411,3318,2382,2213,0,0,0,0
"Carlinville","Macoupin County","Illinois",5756,5917,5685,5416,5439,5675,5440,5116,4965,4144,5212,3616,3502,3293,3117,0,0,0,0
"Carlock","McLean County","Illinois",559,552,456,418,410,373,318,0,0,0,0,0,0,0,0,0,0,0,0
