"Charlevoix","Charlevoix County","Michigan",2529,2513,2994,3116,3296,3519,2751,2695,2299,2247,2218,2420,2079,1496,512,0,0,0,0,0,0
"Charlotte","Eaton County","Michigan",9056,9074,8389,8083,8251,8244,7657,6606,5544,5307,5126,4886,4092,3867,2910,2253,0,0,0,0,0
"Chatham","Alger County","Michigan",214,220,231,268,315,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cheboygan","Cheboygan County","Michigan",4779,4867,5295,4999,5106,5553,5859,5687,5673,4923,5642,6859,6489,6235,2269,0,0,0,0,0,0
"Chelsea","Washtenaw County","Michigan",5211,4944,4398,3772,3816,3858,3355,2580,2246,2268,2079,1764,1635,1356,1160,1013,0,0,0,0,0
"Chesaning","Saginaw County","Michigan",2308,2394,2548,2567,2656,2876,2770,2264,1807,1594,1387,1363,1244,1056,889,721,0,0,0,0,0
"Clare","Clare County","Michigan",3089,3118,3173,3021,3300,2639,2442,2440,1844,1491,1462,1350,1326,1174,502,0,0,0,0,0,0
"Clarksville","Ionia County","Michigan",399,394,317,360,348,346,371,339,309,284,0,0,0,0,0,0,0,0,0,0,0
"Clawson","Oakland County","Michigan",12049,11825,12732,13874,15103,17617,14795,5196,4006,3377,0,0,0,0,0,0,0,0,0,0,0
"Clayton","Lenawee County","Michigan",340,344,326,384,396,505,470,467,375,372,306,372,370,0,368,0,0,0,0,0,0
"Clifford","Lapeer County","Michigan",324,324,324,354,406,472,389,330,321,293,327,308,339,306,0,0,0,0,0,0,0
"Climax","Kalamazoo County","Michigan",780,767,791,677,619,594,587,524,460,441,395,425,398,369,268,0,0,0,0,0,0
"Clinton","Lenawee County","Michigan",2290,2336,2293,2475,2342,1677,1481,1344,1126,1026,961,1011,1038,960,927,752,680,0,0,0,0
"Clio","Genesee County","Michigan",2554,2646,2483,2629,2669,2357,2212,1963,1711,1548,1256,810,640,577,489,0,0,0,0,0,0
"Coldwater","Branch County","Michigan",10811,10945,12697,9607,9461,9155,8880,8594,7343,6735,6114,5945,6216,5247,4681,4381,0,0,0,0,0
"Coleman","Midland County","Michigan",1211,1243,1296,1237,1429,1295,1264,1024,722,667,769,909,1014,540,111,0,0,0,0,0,0
"Coloma","Berrien County","Michigan",1463,1483,1595,1679,1833,1814,1473,1041,960,826,663,701,687,0,0,0,0,0,0,0,0
"Colon","St. Joseph County","Michigan",1159,1173,1227,1224,1190,1172,1055,1000,896,781,745,853,0,489,422,398,311,0,0,0,0
"Columbiaville","Lapeer County","Michigan",781,787,815,934,953,935,878,789,664,477,656,369,457,578,326,0,0,0,0,0,0
"Concord","Jackson County","Michigan",1049,1050,1101,944,900,983,990,730,618,603,535,543,534,580,540,0,0,0,0,0,0
"Constantine","St. Joseph County","Michigan",2061,2076,2095,2032,1680,1733,1710,1514,1384,1259,1277,1244,1226,1346,1405,1290,879,760,0,0,0
"Coopersville","Ottawa County","Michigan",4344,4275,3910,3421,2889,2129,1584,1371,1083,1004,914,814,660,790,645,0,0,0,0,0,0
"Copemish","Manistee County","Michigan",192,194,232,222,287,237,232,255,241,266,284,490,429,0,0,0,0,0,0,0,0
"Copper City","Houghton County","Michigan",188,190,205,198,244,252,293,336,479,587,0,0,0,0,0,0,0,0,0,0,0
"Corunna","Shiawassee County","Michigan",3418,3497,3381,3091,3206,2829,2764,2358,2017,1936,1571,1384,1510,1382,1501,1408,684,0,0,0,0
"Croswell","Sanilac County","Michigan",2350,2447,2467,2174,2073,1954,1817,1775,1381,1470,1678,1380,606,504,447,0,0,0,0,0,0
"Crystal Falls","Iron County","Michigan",1420,1469,1791,1922,1965,2000,2203,2316,2641,2995,3394,3775,3231,0,0,0,0,0,0,0,0
"Custer","Mason County","Michigan",285,284,318,312,341,320,365,260,237,281,269,277,269,0,0,0,0,0,0,0,0
"Daggett","Menominee County","Michigan",256,258,270,260,274,366,296,341,283,291,321,228,0,0,0,0,0,0,0,0,0
"Dansville","Ingham County","Michigan",556,563,429,437,479,486,453,433,351,315,299,349,374,366,440,443,0,0,0,0,0
"Davison","Genesee County","Michigan",5000,5173,5536,5693,6087,5259,3761,1745,1397,1298,811,673,751,456,163,0,0,0,0,0,0
"Dearborn","Wayne County","Michigan",95535,98153,97775,89286,90660,104199,112007,94994,63584,50358,2470,911,844,0,410,530,355,0,0,0,0
"Dearborn Heights","Wayne County","Michigan",56415,57774,58264,60838,67706,80069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Decatur","Van Buren County","Michigan",1772,1819,1838,1760,1915,1764,1827,1664,1599,1582,1270,1286,1356,1199,1267,1420,564,0,0,0,0
"Deckerville","Sanilac County","Michigan",802,830,944,1015,887,817,798,719,647,523,782,628,398,0,100,0,0,0,0,0,0
"Deerfield","Lenawee County","Michigan",880,898,1005,922,957,834,866,725,569,512,442,443,440,421,0,0,0,0,0,0,0
"De Tour Village","Chippewa County","Michigan",324,325,421,407,466,494,669,611,595,616,612,721,880,0,0,0,0,0,0,0,0
"Detroit","Wayne County","Michigan",680250,713777,951270,1027974,1203368,1514063,1670144,1849568,1623452,1568662,993678,465766,285704,205876,116340,79577,45619,21019,9102,2222,1422
"DeWitt","Clinton County","Michigan",4688,4507,4702,3964,3165,1829,1238,824,651,476,0,0,0,0,284,0,0,0,0,0,0
"Dexter","Washtenaw County","Michigan",4484,4067,2338,1497,1524,1729,1702,1307,1087,894,587,726,900,879,1008,1161,856,850,0,0,0
"Dimondale","Eaton County","Michigan",1243,1234,1342,1247,1008,970,866,774,604,545,300,341,0,320,304,0,0,0,0,0,0
"Douglas","Allegan County","Michigan",1266,1232,1214,1040,948,813,602,447,421,368,305,485,444,404,522,0,0,0,0,0,0
"Dowagiac","Cass County","Michigan",5748,5879,6147,6409,6307,6583,7208,6542,5007,5550,5440,5088,4151,2806,2100,1932,1181,,0,0,0
"Dryden","Lapeer County","Michigan",943,951,815,628,650,654,531,476,411,383,359,371,328,322,200,0,0,0,0,0,0
"Dundee","Monroe County","Michigan",3953,3957,3522,2664,2575,2472,2377,1975,1699,1364,1108,1070,1118,1166,932,0,0,0,0,0,0
"Durand","Shiawassee County","Michigan",3355,3446,3933,4283,4206,3678,3312,3194,3127,3081,2672,2315,2134,255,210,0,0,0,0,0,0
"Eagle","Clinton County","Michigan",125,123,130,120,155,175,141,145,147,123,100,133,142,141,120,0,0,0,0,0,0
"East Grand Rapids","Kent County","Michigan",11258,10694,10764,10807,10914,12565,10924,6403,4899,4024,1310,800,466,0,0,0,0,0,0,0,0
"East Jordan","Charlevoix County","Michigan",2361,2351,2507,2240,2185,2041,1919,1779,1725,1523,2428,2516,1205,731,0,0,0,0,0,0,0
"Eastlake","Manistee County","Michigan",506,512,441,473,514,512,436,376,412,392,675,0,0,1856,0,0,0,0,0,0,0
"East Lansing","Ingham County","Michigan",48648,48579,46525,50677,51392,47540,30198,20325,5839,4389,1889,802,0,0,0,0,0,0,0,0,0
"Eastpointe","Macomb County","Michigan",32654,32442,34077,35283,38280,45920,45756,21461,8584,5955,0,0,0,0,0,0,0,0,0,0,0
"East Tawas","Iosco County","Michigan",2758,2808,2951,2887,2584,2372,2462,2040,1670,1455,1398,1452,1736,2200,1086,0,0,0,0,0,0
"Eaton Rapids","Eaton County","Michigan",5220,5214,5330,4695,4510,4494,4052,3509,3060,2822,2379,2094,2103,1970,1785,1221,581,0,0,0,0
"Eau Claire","Berrien County","Michigan",621,625,656,494,573,527,562,480,328,324,293,307,281,0,0,0,0,0,0,0,0
