"Gorham","town","Coos County","New Hampshire",2657,2848,2895,3173,3322,2998,3039,2639,2597,2763,2734,2155,1797,1710,1383,1167,907,224,156,0,0,0,0,0
"Greens grant","town","Coos County","New Hampshire",1,1,0,0,0,0,2,0,3,4,5,4,13,30,8,71,14,0,0,0,0,0,0,0
"Hadleys purchase","town","Coos County","New Hampshire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jefferson","town","Coos County","New Hampshire",1051,1107,1006,965,803,714,600,728,763,771,960,1061,1080,1062,951,826,700,629,575,492,252,197,112,0
"Kilkenny township","town","Coos County","New Hampshire",0,0,0,0,0,0,0,0,0,0,2,0,47,0,0,0,0,0,0,27,24,28,18,0
"Lancaster","town","Coos County","New Hampshire",3351,3507,3280,3522,3401,3166,3138,3113,3095,2887,2819,3054,3190,3373,2721,2248,2020,1559,1316,1187,844,717,440,161
"Low and Burbanks grant","town","Coos County","New Hampshire",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Martins location","town","Coos County","New Hampshire",0,0,0,0,0,0,2,0,0,0,4,3,0,5,33,17,19,0,0,0,0,0,0,0
"Milan","town","Coos County","New Hampshire",1266,1337,1331,1295,1013,713,661,743,782,719,730,924,1135,1029,895,710,789,493,386,243,0,0,0,0
"Millsfield township","town","Coos County","New Hampshire",22,23,22,21,7,18,7,16,34,33,45,12,41,62,62,28,15,0,12,33,0,0,0,0
"Northumberland","town","Coos County","New Hampshire",2167,2288,2438,2492,2520,2493,2586,2779,2740,2360,2567,2184,1977,1356,1062,955,736,429,399,342,205,281,205,117
"Odell township","town","Coos County","New Hampshire",4,4,5,0,0,3,0,12,82,0,73,0,0,0,0,0,1,0,0,0,0,0,0,0
"Pinkhams grant","town","Coos County","New Hampshire",9,9,0,11,30,16,15,17,10,9,0,0,4,8,0,0,0,0,0,0,0,0,0,0
"Pittsburg","town","Coos County","New Hampshire",828,869,867,901,780,726,639,697,820,671,1311,624,687,609,581,400,413,425,315,0,0,0,0,0
"Randolph","town","Coos County","New Hampshire",293,310,339,371,274,169,140,158,114,82,67,137,137,137,203,138,118,113,115,143,0,0,0,0
"Sargents purchase","town","Coos County","New Hampshire",3,3,0,0,1,0,17,16,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Second College grant","town","Coos County","New Hampshire",0,0,0,0,2,0,6,0,0,0,0,0,0,13,18,11,0,0,0,0,0,0,0,0
"Shelburne","town","Coos County","New Hampshire",349,372,379,437,318,199,226,184,190,196,178,305,283,336,252,259,318,480,350,312,205,176,45,31
"Stark","town","Coos County","New Hampshire",518,556,516,518,470,343,327,373,352,329,339,448,733,703,690,464,426,418,349,0,0,0,0,0
"Stewartstown","town","Coos County","New Hampshire",964,1004,1012,1048,943,1008,918,970,1203,1148,1109,1128,1150,1002,958,909,771,747,630,129,363,186,99,0
"Stratford","town","Coos County","New Hampshire",698,746,942,927,989,980,1029,973,1049,918,794,844,968,1128,1016,886,716,552,441,443,335,339,281,146
"Success township","town","Coos County","New Hampshire",0,0,2,0,0,2,0,0,1,0,8,0,220,0,0,5,11,0,0,14,0,0,0,0
"Thompson and Meserves purchase","town","Coos County","New Hampshire",0,0,0,0,2,0,1,2,0,2,0,4,18,0,0,0,32,0,0,0,0,0,0,0
"Wentworth location","town","Coos County","New Hampshire",31,33,44,53,49,37,58,48,57,38,50,51,61,25,55,38,57,0,0,0,0,0,0,0
"Whitefield","town","Coos County","New Hampshire",2217,2306,2038,1909,1681,1538,1581,1677,1834,1693,1935,1635,2157,2041,1828,1196,1015,857,751,685,281,51,0,0
"Alexandria","town","Grafton County","New Hampshire",1623,1613,1329,1190,706,466,370,402,396,412,502,571,630,679,828,876,1253,1273,1284,1083,707,409,303,298
