"Freeman","Hutchinson County","South Dakota",1274,1306,1317,1293,1462,1357,1140,944,976,987,894,615,525,0,0
"Fruitdale","Butte County","South Dakota",64,64,62,43,88,74,79,70,89,113,40,0,0,0,0
"Fulton","Hanson County","South Dakota",94,91,86,70,108,101,135,139,168,171,214,0,0,0,0
"Garden City","Clark County","South Dakota",53,53,72,93,104,126,226,282,272,257,204,304,0,0,0
"Garretson","Minnehaha County","South Dakota",1212,1166,1165,924,963,847,850,745,666,655,715,668,500,341,0
"Gary","Deuel County","South Dakota",229,227,231,274,354,366,471,558,566,543,588,477,345,277,0
"Gayville","Yankton County","South Dakota",411,407,418,401,407,269,261,271,278,261,305,257,0,0,0
"Geddes","Charles Mix County","South Dakota",212,208,252,280,303,308,380,502,581,680,695,701,0,0,0
"Gettysburg","Potter County","South Dakota",1172,1162,1352,1510,1623,1915,1950,1555,1324,1400,951,936,0,0,0
"Glenham","Walworth County","South Dakota",107,105,139,134,169,178,171,168,131,187,135,182,0,0,0
"Goodwin","Deuel County","South Dakota",144,146,160,126,139,114,113,141,152,140,157,145,0,0,0
"Gregory","Gregory County","South Dakota",1264,1295,1342,1384,1503,1756,1478,1375,1346,1034,1067,1142,0,0,0
"Grenville","Day County","South Dakota",52,54,62,81,119,154,151,207,260,247,0,0,0,0,0
"Groton","Brown County","South Dakota",1495,1458,1356,1196,1230,1021,1063,1084,946,1009,1273,1108,700,684,0
"Harrisburg","Lincoln County","South Dakota",5190,4089,958,727,558,338,313,274,241,205,193,164,0,0,0
"Harrold","Hughes County","South Dakota",126,124,209,167,196,184,255,263,229,309,252,230,57,0,0
"Hartford","Minnehaha County","South Dakota",2983,2534,1844,1262,1207,800,688,592,647,628,677,648,423,0,0
"Hayti","Hamlin County","South Dakota",380,381,367,372,371,393,425,413,370,344,293,0,0,0,0
"Hazel","Hamlin County","South Dakota",90,91,105,103,94,101,128,161,182,191,247,229,0,0,0
"Hecla","Brown County","South Dakota",228,227,314,398,435,407,444,500,555,558,553,462,160,0,0
"Henry","Codington County","South Dakota",267,267,268,215,217,182,276,323,322,358,418,441,191,194,0
"Hermosa","Custer County","South Dakota",398,398,315,242,251,150,126,123,121,128,74,114,77,172,0
"Herreid","Campbell County","South Dakota",417,438,482,488,570,672,767,633,592,544,460,414,0,0,0
"Herrick","Gregory County","South Dakota",104,105,105,139,115,126,160,169,246,339,422,412,0,0,0
"Hetland","Kingsbury County","South Dakota",45,46,43,53,66,81,107,123,199,250,248,223,162,0,0
"Highmore","Hyde County","South Dakota",779,795,851,835,1055,1173,1078,1158,1136,1034,1022,1084,376,435,0
"Hill City","Pennington County","South Dakota",990,948,780,650,535,389,419,361,0,0,0,271,0,470,0
"Hillsview","McPherson County","South Dakota",3,3,3,4,9,19,44,68,160,161,0,0,0,0,0
"Hitchcock","Beadle County","South Dakota",94,91,108,95,132,150,193,227,246,334,358,259,135,0,0
"Hosmer","Edmunds County","South Dakota",203,208,287,310,385,437,433,533,579,524,419,217,0,0,0
"Hot Springs","Fall River County","South Dakota",3503,3711,4129,4325,4742,4434,4943,5030,4083,3486,2141,2140,1319,1423,0
"Hoven","Potter County","South Dakota",407,406,511,522,615,671,568,552,369,386,271,209,0,0,0
"Howard","Miner County","South Dakota",819,858,1071,1156,1169,1175,1208,1251,1193,1224,1325,1026,588,0,0
"Hudson","Lincoln County","South Dakota",316,296,402,332,388,366,455,500,478,478,470,404,400,202,88
"Humboldt","Minnehaha County","South Dakota",590,589,521,468,487,411,446,450,417,428,445,0,0,0,0
"Hurley","Turner County","South Dakota",403,415,426,372,419,399,450,474,586,586,586,506,444,344,0
"Huron","Beadle County","South Dakota",13163,12592,11893,12448,13000,14299,14180,12788,10843,10946,8302,5791,2793,3038,164
"Interior","Jackson County","South Dakota",102,94,77,67,62,81,179,126,182,144,0,0,0,0,0
"Ipswich","Edmunds County","South Dakota",950,954,943,965,1153,1187,1131,1058,1002,913,909,810,397,539,0
"Irene","Clay/Turner County","South Dakota",412,420,432,464,523,461,399,374,391,491,446,263,229,0,0
"Iroquois","Kingsbury/Beadle County","South Dakota",266,266,278,328,348,375,385,413,413,531,651,578,276,183,0
"Isabel","Dewey County","South Dakota",144,135,239,319,332,394,488,511,490,430,240,0,0,0,0
"Java","Walworth County","South Dakota",131,129,197,161,261,305,406,433,493,529,527,473,0,0,0
"Jefferson","Union County","South Dakota",535,547,586,527,592,474,443,466,469,426,550,407,364,229,90
"Kadoka","Jackson County","South Dakota",699,654,706,736,832,815,840,584,464,385,341,222,0,0,0
"Kennebec","Lyman County","South Dakota",252,240,286,284,334,372,372,374,390,349,341,252,0,0,0
"Keystone","Pennington County","South Dakota",344,337,311,232,295,0,0,0,0,0,0,0,0,0,0
"Kimball","Brule County","South Dakota",697,703,745,743,752,825,912,952,997,1111,993,713,453,593,0
"Kranzburg","Codington County","South Dakota",179,172,185,132,136,143,156,0,0,0,0,0,0,0,0
"La Bolt","Grant County","South Dakota",66,68,86,91,94,90,125,164,127,126,142,0,0,0,0
"Lake Andes","Charles Mix County","South Dakota",833,879,819,846,1029,948,1097,1851,785,1052,867,920,0,0,0
"Lake City","Marshall County","South Dakota",51,51,47,43,46,44,81,110,168,162,0,0,0,0,0
"Lake Norden","Hamlin County","South Dakota",475,467,432,427,417,393,390,373,463,459,408,202,0,0,0
"Lake Preston","Kingsbury County","South Dakota",583,599,737,663,789,812,955,957,886,944,1008,1007,706,337,0
"Lane","Jerauld County","South Dakota",57,59,59,71,83,94,99,145,214,187,336,294,0,0,0
"Langford","Marshall County","South Dakota",315,313,290,298,307,328,397,456,452,444,510,463,239,198,0
"Lead","Lawrence County","South Dakota",3030,3124,3027,3632,4330,5420,6211,6422,7520,5733,5013,8392,6210,2581,1437
"Lebanon","Potter County","South Dakota",47,47,86,115,129,182,198,215,310,334,325,0,0,0,0
"Lemmon","Perkins County","South Dakota",1240,1227,1398,1614,1871,1997,2412,2760,1781,1508,1126,1255,0,0,0
"Lennox","Lincoln County","South Dakota",2264,2111,2037,1767,1827,1487,1353,1218,1164,1113,1074,745,591,363,89
"Leola","McPherson County","South Dakota",444,457,462,521,645,787,833,772,795,724,637,484,0,0,0
