"St. Helens","Columbia County","Oregon",13061,12883,10021,7535,7064,6212,5022,4711,4304,3994,2220,742,258,220,209,0,0
"St. Paul","Marion County","Oregon",430,421,354,322,312,347,254,226,183,148,160,103,0,0,0,0,0
"Stanfield","Umatilla County","Oregon",2044,2043,1979,1568,1568,891,745,845,241,204,278,318,0,0,0,0,0
"Stayton","Marion County","Oregon",7846,7644,6816,5011,4396,3170,2108,1507,1085,797,649,703,324,381,226,0,0
"Sublimity","Marion County","Oregon",2834,2681,2148,1491,1077,634,490,367,280,214,172,138,0,0,0,0,0
"Summerville","Union County","Oregon",135,135,117,111,143,76,76,73,80,116,116,237,184,280,0,0,0
"Sumpter","Baker County","Oregon",203,204,171,119,133,120,96,146,420,154,219,643,0,0,0,0,0
"Sutherlin","Douglas County","Oregon",7762,7810,6668,5020,4560,3070,2452,2230,525,457,515,0,0,0,0,0,0
"Sweet Home","Linn County","Oregon",9074,8925,8016,6850,6921,3799,3353,3603,1090,189,175,202,0,0,0,0,0
"Talent","Jackson County","Oregon",6323,6066,5589,3274,2577,1411,868,739,381,421,278,0,0,0,0,0,0
"Tangent","Linn County","Oregon",1183,1164,933,556,478,0,0,0,0,0,0,0,84,0,38,0,0
"The Dalles","Wasco County","Oregon",15162,13620,12156,11060,10820,10423,10493,7676,6266,5883,5807,4880,3542,3029,2232,942,805
"Tigard","Washington County","Oregon",50787,48035,42249,29344,14799,6499,0,0,0,0,0,0,0,0,0,0,0
"Tillamook","Tillamook County","Oregon",4940,4935,4356,4001,3981,3968,4244,3685,2751,2549,1964,1352,834,0,0,0,0
"Toledo","Lincoln County","Oregon",3459,3465,3472,3174,3151,2818,3053,2323,2288,2187,678,541,302,0,0,0,0
"Troutdale","Multnomah County","Oregon",16552,15962,13777,7852,5908,1661,522,514,211,227,191,309,0,0,0,0,0
"Tualatin","Washington County","Oregon",26907,26054,22799,15013,7483,750,359,248,180,193,234,0,0,0,0,0,0
"Turner","Marion County","Oregon",1937,1854,1199,1281,1116,846,770,610,414,283,289,191,0,0,85,0,0
"Ukiah","Umatilla County","Oregon",191,186,255,250,249,0,0,0,0,0,0,0,0,0,0,0,0
"Umatilla","Umatilla County","Oregon",7005,6906,4981,3046,3199,679,617,883,370,345,390,198,0,0,149,0,0
"Union","Union County","Oregon",2112,2121,1926,1847,2062,1531,1490,1307,1398,1107,1319,1483,937,604,416,0,0
"Unity","Baker County","Oregon",70,71,131,87,115,0,0,0,0,0,0,0,0,0,0,0,0
