,"Hernando County","Florida",175855,172778
,"Highlands County","Florida",98236,98786
,"Hillsborough County","Florida",1316298,1229226
,"Holmes County","Florida",19650,19927
,"Indian River County","Florida",144755,138028
,"Jackson County","Florida",48801,49746
,"Jefferson County","Florida",14050,14761
,"Lafayette County","Florida",8835,8870
,"Lake County","Florida",315690,297052
,"Lee County","Florida",679513,618754
,"Leon County","Florida",283988,275487
,"Levy County","Florida",39613,40801
,"Liberty County","Florida",8360,8365
,"Madison County","Florida",18518,19224
,"Manatee County","Florida",351746,322833
,"Marion County","Florida",339167,331298
,"Martin County","Florida",153392,146318
,"Miami-Dade County","Florida",2662874,2496435
,"Monroe County","Florida",77136,73090
,"Nassau County","Florida",76619,73314
,"Okaloosa County","Florida",196512,180822
,"Okeechobee County","Florida",39149,39996
,"Orange County","Florida",1253001,1145956
,"Osceola County","Florida",310211,268685
,"Palm Beach County","Florida",1397710,1320134
,"Pasco County","Florida",485331,464697
,"Pinellas County","Florida",938098,916542
,"Polk County","Florida",634638,602095
,"Putnam County","Florida",72143,74364
,"St. Johns County","Florida",217919,190039
,"St. Lucie County","Florida",291028,277789
,"Santa Rosa County","Florida",163422,151372
,"Sarasota County","Florida",396962,379448
,"Seminole County","Florida",442516,422718
,"Sumter County","Florida",114350,93420
,"Suwannee County","Florida",44022,41551
,"Taylor County","Florida",22582,22570
,"Union County","Florida",15190,15535
,"Volusia County","Florida",507531,494593
,"Wakulla County","Florida",31432,30776
,"Walton County","Florida",61530,55043
,"Washington County","Florida",24451,24896
,"Appling County","Georgia",18540,18236
,"Atkinson County","Georgia",8223,8375
,"Bacon County","Georgia",11281,11096
,"Baker County","Georgia",3255,3451
,"Baldwin County","Georgia",45909,45720
,"Banks County","Georgia",18295,18395
,"Barrow County","Georgia",73240,69367
,"Bartow County","Georgia",101736,100157
,"Ben Hill County","Georgia",17464,17634
,"Berrien County","Georgia",18700,19286
,"Bibb County","Georgia",153905,155547
,"Bleckley County","Georgia",12795,13063
,"Brantley County","Georgia",18417,18411
,"Brooks County","Georgia",15418,16243
,"Bryan County","Georgia",33906,30233
,"Bulloch County","Georgia",72087,70217
,"Burke County","Georgia",22709,23316
,"Butts County","Georgia",23368,23655
,"Calhoun County","Georgia",6463,6694
,"Camden County","Georgia",52027,50513
,"Candler County","Georgia",10888,10998
,"Carroll County","Georgia",114093,110527
,"Catoosa County","Georgia",65621,63942
,"Charlton County","Georgia",12897,12171
,"Chatham County","Georgia",283379,265128
,"Chattahoochee County","Georgia",11837,11267
,"Chattooga County","Georgia",24939,26015
,"Cherokee County","Georgia",230985,214346
,"Clarke County","Georgia",120938,116714
,"Clay County","Georgia",3102,3183
,"Clayton County","Georgia",267542,259424
,"Clinch County","Georgia",6831,6798
,"Cobb County","Georgia",730981,688078
,"Coffee County","Georgia",42811,42356
,"Colquitt County","Georgia",46102,45498
,"Columbia County","Georgia",139257,124053
,"Cook County","Georgia",17214,17212
,"Coweta County","Georgia",135571,127317
,"Crawford County","Georgia",12387,12630
,"Crisp County","Georgia",22934,23439
,"Dade County","Georgia",16389,16633
,"Dawson County","Georgia",22957,22330
,"Decatur County","Georgia",27220,27842
,"DeKalb County","Georgia",722161,691893
,"Dodge County","Georgia",20976,21796
,"Dooly County","Georgia",14188,14918
,"Dougherty County","Georgia",92407,94565
,"Douglas County","Georgia",138776,132403
,"Early County","Georgia",10491,11008
,"Echols County","Georgia",4003,4034
,"Effingham County","Georgia",55423,52250
,"Elbert County","Georgia",19438,20166
,"Emanuel County","Georgia",22755,22598
,"Evans County","Georgia",10898,11000
,"Fannin County","Georgia",23753,23682
,"Fayette County","Georgia",109664,106567
,"Floyd County","Georgia",96063,96317
,"Forsyth County","Georgia",204302,175511
,"Franklin County","Georgia",22264,22084
,"Fulton County","Georgia",996319,920581
,"Gilmer County","Georgia",28829,28292
,"Glascock County","Georgia",3053,3082
,"Glynn County","Georgia",82175,79626
,"Gordon County","Georgia",56047,55186
,"Grady County","Georgia",25359,25011
,"Greene County","Georgia",16490,15994
,"Gwinnett County","Georgia",877922,805321
,"Habersham County","Georgia",43752,43041
,"Hall County","Georgia",190761,179684
,"Hancock County","Georgia",8509,9429
,"Haralson County","Georgia",28641,28780
,"Harris County","Georgia",32876,32024
,"Hart County","Georgia",25377,25213
,"Heard County","Georgia",11603,11834
,"Henry County","Georgia",213869,203922
,"Houston County","Georgia",149111,139900
,"Irwin County","Georgia",9104,9538
,"Jackson County","Georgia",61870,60485
,"Jasper County","Georgia",13432,13900
,"Jeff Davis County","Georgia",14859,15068
,"Jefferson County","Georgia",16272,16930
,"Jenkins County","Georgia",9125,8340
,"Johnson County","Georgia",9701,9980
,"Jones County","Georgia",28787,28669
,"Lamar County","Georgia",18207,18317
,"Lanier County","Georgia",10373,10078
,"Laurens County","Georgia",47851,48434
,"Lee County","Georgia",29191,28298
,"Liberty County","Georgia",65198,63453
,"Lincoln County","Georgia",7622,7996
,"Long County","Georgia",17113,14464
,"Lowndes County","Georgia",113523,109233
,"Lumpkin County","Georgia",31176,29966
,"McDuffie County","Georgia",21370,21875
,"McIntosh County","Georgia",14214,14333
,"Macon County","Georgia",13792,14740
,"Madison County","Georgia",28312,28120
,"Marion County","Georgia",8797,8742
,"Meriwether County","Georgia",21198,21992
,"Miller County","Georgia",5958,6125
,"Mitchell County","Georgia",22771,23498
,"Monroe County","Georgia",27051,26424
,"Montgomery County","Georgia",8991,9123
,"Morgan County","Georgia",17956,17868
,"Murray County","Georgia",39410,39628
,"Muscogee County","Georgia",200887,189885
,"Newton County","Georgia",103675,99958
,"Oconee County","Georgia",35093,32808
,"Oglethorpe County","Georgia",14673,14899
,"Paulding County","Georgia",148987,142324
,"Peach County","Georgia",26922,27695
,"Pickens County","Georgia",29997,29431
,"Pierce County","Georgia",18991,18758
,"Pike County","Georgia",17784,17869
,"Polk County","Georgia",41133,41475
,"Pulaski County","Georgia",11483,12010
,"Putnam County","Georgia",21192,21218
,"Quitman County","Georgia",2315,2513
,"Rabun County","Georgia",16243,16276
,"Randolph County","Georgia",7313,7719
,"Richmond County","Georgia",201368,200549
,"Rockdale County","Georgia",87754,85215
,"Schley County","Georgia",5163,5010
,"Screven County","Georgia",14085,14593
,"Seminole County","Georgia",8686,8729
,"Spalding County","Georgia",63988,64073
,"Stephens County","Georgia",25480,26175
,"Stewart County","Georgia",5744,6058
,"Sumter County","Georgia",31232,32819
,"Talbot County","Georgia",6390,6865
,"Taliaferro County","Georgia",1693,1717
,"Tattnall County","Georgia",25224,25520
,"Taylor County","Georgia",8442,8906
,"Telfair County","Georgia",16518,16500
,"Terrell County","Georgia",9132,9315
,"Thomas County","Georgia",44959,44720
,"Tift County","Georgia",40704,40118
,"Toombs County","Georgia",27282,27223
,"Towns County","Georgia",11098,10471
,"Treutlen County","Georgia",6778,6885
,"Troup County","Georgia",69469,67044
,"Turner County","Georgia",8153,8930
,"Twiggs County","Georgia",8320,9023
,"Union County","Georgia",21984,21356
,"Upson County","Georgia",26256,27153
,"Walker County","Georgia",68218,68756
,"Walton County","Georgia",87615,83768
,"Ware County","Georgia",35515,36312
,"Warren County","Georgia",5520,5834
,"Washington County","Georgia",20635,21187
,"Wayne County","Georgia",29949,30099
,"Webster County","Georgia",2649,2799
,"Wheeler County","Georgia",7995,7421
,"White County","Georgia",27970,27144
,"Whitfield County","Georgia",103542,102599
,"Wilcox County","Georgia",8847,9255
,"Wilkes County","Georgia",9940,10593
,"Wilkinson County","Georgia",9326,9563
,"Worth County","Georgia",20940,21679
,"Hawaii County","Hawaii",194190,185079
,"Honolulu County","Hawaii",991788,953207
,"Kalawao County","Hawaii",89,90
,"Kauai County","Hawaii",70475,67091
,"Maui County","Hawaii",163019,154834
,"Ada County","Idaho",426236,392365
,"Adams County","Idaho",3861,3976
,"Bannock County","Idaho",83347,82839
,"Bear Lake County","Idaho",5957,5986
,"Benewah County","Idaho",9118,9285
,"Bingham County","Idaho",45269,45607
,"Blaine County","Idaho",21482,21376
,"Boise County","Idaho",6824,7028
,"Bonner County","Idaho",41585,40877
,"Bonneville County","Idaho",108623,104234
,"Boundary County","Idaho",10979,10972
,"Butte County","Idaho",2622,2891
,"Camas County","Idaho",1039,1117
,"Canyon County","Idaho",203143,188923
,"Caribou County","Idaho",6837,6963
,"Cassia County","Idaho",23540,22952
,"Clark County","Idaho",867,982
,"Clearwater County","Idaho",8562,8761
,"Custer County","Idaho",4140,4368
,"Elmore County","Idaho",26094,27038
,"Franklin County","Idaho",13021,12786
