"Dyer","Crawford County",861,876,585,502,608,486,450,398,513,425,609,433,343,0,0,0,0,0
"Dyess","Mississippi County",389,410,515,466,446,433,0,0,0,0,0,0,0,0,0,0,0,0
"Earle","Crittenden County",2321,2414,3036,3393,3517,3146,2391,2375,1872,2062,2091,1542,0,0,0,0,0,0
"East Camden","Ouachita County",880,931,902,783,632,589,0,0,0,0,0,0,0,0,0,0,0,0
"Edmondson","Crittenden County",410,427,513,286,344,412,288,283,308,302,325,342,0,0,0,0,0,0
"Egypt","Craighead County",111,112,101,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"El Dorado","Union County",18352,18884,21530,23146,25270,25283,25292,23076,15858,16421,3887,4202,1069,455,443,0,0,0
"Elaine","Phillips County",572,636,865,846,991,1210,898,744,634,511,377,0,0,0,0,0,0,0
"Elkins","Washington County",2890,2648,1251,692,579,418,0,0,0,0,0,0,0,0,0,0,0,0
"Elm Springs","Washington County",1720,1535,1044,893,781,260,238,217,156,182,0,0,0,0,83,0,0,0
"Emerson","Columbia County",354,368,359,317,444,393,350,523,501,373,357,0,0,0,0,0,0,0
"Emmet","Split (Hempstead/Nevada)",497,518,506,446,475,433,474,482,465,387,420,270,277,0,0,0,0,0
"England","Lonoke County",2786,2825,2972,3351,3081,3075,2861,2136,2027,2130,2408,1407,368,0,0,0,0,0
"Enola","Faulkner County",344,338,188,179,186,173,0,0,0,0,0,0,0,0,0,0,0,0
"Etowah","Mississippi County",333,351,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eudora","Chicot County",2137,2269,2819,3155,3840,3687,3598,3072,1808,2020,1197,606,0,0,0,0,0,0
"Eureka Springs","Carroll County",2086,2073,2278,1900,1989,1670,1437,1958,1770,2276,2429,3228,3572,3706,3984,0,0,0
"Evening Shade","Sharp County",421,432,465,328,397,309,232,360,347,325,290,289,312,281,286,0,0,0
"Everton","Boone County",133,133,170,150,134,124,118,198,190,180,0,0,0,0,0,0,0,0
"Fairfield Bay","Split (Cleburne/Van Buren)",2280,2338,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fargo","Monroe County",92,98,118,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Farmington","Washington County",6477,5974,3605,1322,1283,908,216,0,0,0,0,0,0,0,0,0,0,0
"Fayetteville","Washington County",80621,73580,58047,42099,36608,30729,20274,17071,8212,7394,5362,4471,4061,2942,1788,955,972,598
"Felsenthal","Union County",144,150,152,95,220,158,0,0,0,208,267,0,0,0,0,0,0,0
"Fifty-Six","Stone County",173,173,163,156,157,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fisher","Poinsett County",220,223,265,245,302,361,303,289,205,259,350,53,0,0,0,0,0,0
"Flippin","Marion County",1350,1355,1357,1006,1072,626,433,646,332,325,0,0,0,0,0,0,0,0
"Fordyce","Dallas County",4107,4300,4799,4729,5175,4837,3890,3754,3429,3206,2996,2794,1710,980,0,0,0,0
"Foreman","Little River County",957,1011,1125,1267,1377,1173,0,0,0,0,0,0,0,0,0,0,0,0
"Forrest City","St. Francis County",14823,15371,14774,13364,13803,12521,10544,7607,5699,4594,3377,2484,1361,1021,903,0,0,0
"Fort Smith","Sebastian County",87351,86209,80268,72798,71626,62802,52991,47942,36584,31429,28870,23975,11587,11311,3099,2227,1532,964
"Fouke","Miller County",864,859,814,634,614,506,394,336,368,363,319,246,0,0,0,0,0,0
"Fountain Hill","Ashley County",168,175,159,195,352,266,230,320,267,215,0,0,0,0,0,0,0,0
"Fountain Lake","Garland County",510,503,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fourche","Perry County",61,62,59,55,51,46,48,51,88,94,164,246,0,0,0,0,0,0
"Franklin","Izard County",193,198,184,205,253,117,75,100,100,0,0,0,0,0,0,0,0,0
"Fredonia (Biscoe)","Prairie County",343,363,476,484,486,340,350,406,395,402,310,0,0,0,94,0,0,0
"Friendship","Hot Spring County",176,176,206,160,163,150,162,179,272,0,0,0,0,0,0,0,0,0
"Fulton","Hempstead County",198,201,245,269,326,323,309,385,485,593,543,647,504,337,374,0,0,0
"Garfield","Benton County",524,502,490,308,187,163,48,83,104,0,0,0,0,112,0,0,0,0
"Garland","Miller County",240,242,352,415,660,321,377,351,325,425,370,277,0,0,0,0,0,0
"Garner","White County",283,284,284,191,216,0,0,0,0,0,0,0,0,0,0,0,0,0
